x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
-8.759084,12.32775,,,,,,,,23.8,,,,42.9424,-23.03893,-0.3797204,0.05012069,0.1243696,0.09001485,3.08648
-8.709972,12.73522,,,,,,,,24,,,,-20.03229,-15.35306,9.877519,0.1323591,0.07861651,-0.06961503,3.10275
-8.670848,13.16111,,,,,,,,24.2,,,,59.132,-10.44734,2.417186,-0.2133725,-0.1265002,0.4932174,3.1205
-8.659298,13.36857,,,,,,,,24.4,,,,-20.4982,5.600038,12.97562,0.08676579,-0.1039698,-0.3247991,3.13008
-8.634231,13.57773,,,,,,,,24.6,,,,-2.38271,-4.416823,6.657317,-0.1541438,-0.3072755,-0.2222674,3.13752
-8.62216,13.78533,,,,,,,,24.8,,,,-62.8138,45.10006,16.43572,0.1696966,0.1543036,-0.1758219,3.12664
-8.606545,13.994,,,,,,,,25,,,,-23.95543,-2.668577,8.055053,-0.0169377,0.06876282,0.2585397,3.11982
-8.606052,14.20349,,,,,,,,25.2,,,,14.65587,-11.44141,1.714248,0.2123072,0.03371562,0.166341,3.11468
-8.582865,14.74448,,,,,,,,25.4,,,,46.50402,-17.33258,-2.876873,-0.1356614,-0.1595234,0.1402953,3.10516
-8.570131,14.92365,,,,,,,,25.6,,,,-39.45692,37.02441,23.02121,-0.1638909,0.01358212,-0.4685566,3.09947
-8.566691,15.09795,,,,,,,,25.8,,,,14.50455,2.842875,16.72541,-0.1528655,-0.3682619,-0.1580852,3.09169
-8.568243,15.61443,,,,,,,,26,,,,-65.96505,8.139328,16.62246,0.1412008,-0.1897236,0.08159926,3.06568
-8.550209,15.79061,,,,,,,,26.2,,,,-27.01426,16.85039,13.84567,-0.05443501,0.2099636,0.4293016,3.06135
-8.523483,15.9885,,,,,,,,26.4,,,,59.38051,11.31452,12.26406,0.2494317,0.2313754,-0.01065264,3.06411
-8.457758,16.37612,,,,,,,,26.6,,,,34.92662,-23.15816,0.809719,-0.1252751,0.204371,0.2254632,3.07116
-8.432685,16.58272,,,,,,,,26.8,,,,62.9948,-16.60379,15.20414,-0.02785666,0.2991263,0.4701012,3.0776
-8.404487,16.79004,,,,,,,,27,,,,34.9721,13.49851,10.7514,0.131933,-0.204371,-0.243626,3.08086
-8.390203,16.99513,,,,,,,,27.2,,,,-56.35041,24.54823,12.23964,0.0118777,-0.08681905,-0.2192847,3.08682
-8.379038,17.20716,,,,,,,,27.4,,,,26.35777,-5.389348,6.761704,0.07771104,-0.1287372,-0.1513741,3.08977
-8.356999,17.42553,,,,,,,,27.6,,,,-68.85197,41.27173,16.07898,-0.1173389,0.06876282,0.2930543,3.09727
-8.344392,17.63324,,,,,,,,27.8,,,,58.09818,-23.05425,4.353616,0.1900432,0.04261058,-0.3352387,3.10331
-8.330922,17.83593,,,,,,,,28,,,,-64.11002,35.29293,15.43542,-0.02988067,-0.2783536,-0.2447978,3.1085
-8.317091,18.03642,,,,,,,,28.2,,,,-30.78943,54.79945,11.78713,-0.03009372,0.01219728,0.2626942,3.10819
-8.299308,18.23277,,,,,,,,28.4,,,,-25.2119,3.39019,19.36765,-0.2451706,-0.1827461,0.4798484,3.11245
-8.27566,18.42414,,,,,,,,28.6,,,,34.21171,25.23249,8.872433,-0.1200553,0.4290885,-0.3733219,3.12106
-8.283808,18.6096,,,,,,,,28.8,,,,71.22176,0.3481169,12.97083,0.5591573,0.8372446,-0.379607,3.12578
-8.350809,18.76309,,,,,,,,29,,,,-18.59624,-14.45332,10.66282,-0.1094027,0.8000136,-0.464402,3.13047
-8.480452,18.88265,,,,,,,,29.2,,,,27.68128,-40.17854,7.640377,0.2009089,0.04495416,-0.1665008,3.12782
-9.205239,19.15026,,,,,,,,29.4,,,,11.38204,6.848854,2.138501,0.3939348,-0.3597398,-1.172377,3.10875
-9.40121,19.17595,,,,,,,,29.6,,,,-17.37903,19.60995,4.818571,0.1889247,-0.1090831,-0.9660883,3.09248
-9.594433,19.17598,,,,,,,,29.8,,,,-53.4563,4.362714,7.306146,-0.01177117,-0.2926814,-0.5024852,3.07239
-9.798672,19.18026,,,,,,,,30,,,,-4.88896,-4.491044,0.974919,-0.05885586,-0.1173921,-0.7828628,3.05876
-9.995318,19.17977,,,,,,,,30.2,,,,11.18763,27.2508,20.7606,0.2244512,0.09187905,-0.3037601,3.05124
-10.19475,19.1817,,,,,,,,30.4,,,,46.69507,-19.09089,18.28212,-0.04761732,-0.08207863,-0.04399542,3.05369
-10.38729,19.18482,,,,,,,,30.6,,,,51.93263,5.580884,4.008372,0.2176335,0.2413889,0.1506284,3.05885
-10.57174,19.19152,,,,,,,,30.8,,,,-19.47587,-14.75307,2.756684,0.06295713,0.1564873,0.3602724,3.06207
-10.93717,19.21616,,,,,,,,31,,,,26.62544,4.969405,1.987666,0.06317018,0.06988135,-0.02151834,3.06707
-11.10856,19.22931,,,,,,,,31.2,,,,44.32386,-11.97819,12.1908,-0.04639227,-0.06098639,-0.1502555,3.0688
-11.28642,19.24954,,,,,,,,31.4,,,,-53.63155,13.05367,10.85818,-0.2093777,-0.2192847,-0.1182443,3.06786
-11.46712,19.271,,,,,,,,31.6,,,,0.4352659,-1.364695,9.662519,0.08617989,-0.03238404,0.3610714,3.06856
-11.6389,19.29032,,,,,,,,31.8,,,,-11.45099,11.85034,11.44045,0.1360343,0.1204281,-0.2233327,3.07294
-11.82331,19.30803,,,,,,,,32,,,,-81.52305,-7.286993,19.7809,-0.2504437,-0.4040015,-0.133744,3.08324
-12.00537,19.32413,,,,,,,,32.2,,,,-30.65153,19.53669,19.07891,-0.1431715,0.1062601,-0.1794971,3.09496
-12.19338,19.34812,,,,,,,,32.4,,,,19.18426,-1.691743,31.10212,0.05890912,0.08564726,0.1578189,3.1028
-12.37749,19.36156,,,,,,,,32.6,,,,38.41736,-47.47128,6.437051,-0.0128897,-0.02540656,0.2713228,3.10925
-12.5569,19.37559,,,,,,,,32.8,,,,-49.13668,16.43045,7.298964,0.2270611,0.2561428,0.317289,3.11773
-12.73972,19.39405,,,,,,,,33,,,,7.934384,-29.96822,6.962338,-0.1288437,-0.05587312,-0.05368933,3.12547
-12.92814,19.41038,,,,,,,,33.2,,,,-43.79857,37.54827,23.80698,0.07637946,0.2711098,0.3111638,3.13232
-13.12285,19.42943,,,,,,,,33.4,,,,35.14114,14.16745,2.108813,0.1692173,0.3368899,-0.006498113,3.14162
-13.30808,19.44328,,,,,,,,33.6,,,,60.83236,0.0794875,3.167529,-0.02343582,-0.1022654,-0.2666889,3.14504
-13.49966,19.45553,,,,,,,,33.8,,,,-0.992636,1.148259,19.1991,0.02924151,0.06391586,-0.2651443,3.14853
-13.68726,19.45892,,,,,,,,34,,,,27.11433,-39.94342,16.6895,-0.03589941,0.0592287,-0.3318299,3.1497
-13.87687,19.46605,,,,,,,,34.2,,,,8.204451,-19.4141,13.90792,0.02716424,0.1695901,0.05736449,3.1526
-14.0634,19.46308,,,,,,,,34.4,,,,6.856994,-19.24124,-2.874957,0.001704423,0.1110538,0.1098288,3.15241
-14.24792,19.46354,,,,,,,,34.6,,,,26.3683,2.154782,11.48594,0.3329484,0.06689861,0.04516721,3.15073
-14.43204,19.4588,,,,,,,,34.8,,,,10.72124,-3.172317,-1.496376,-0.1212804,0.1201086,-0.06961503,3.14995
-14.62203,19.46105,,,,,,,,35,,,,-3.781881,17.78126,13.38167,-0.1488707,0.1054079,0.0211455,3.15412
-14.81018,19.45827,,,,,,,,35.2,,,,9.375216,8.947611,17.96896,0.1633583,0.04495416,-0.01667139,3.15576
-14.99557,19.45542,,,,,,,,35.4,,,,-19.68896,4.171178,16.62965,-0.16208,-0.03973436,-0.10887,3.15752
-15.18863,19.46358,,,,,,,,35.6,,,,0.6852205,0.1661576,15.33007,-0.136993,-0.04479437,-0.1255947,3.16132
-15.36541,19.4651,,,,,,,,35.8,,,,10.6384,-1.25121,4.774517,-0.06817693,0.09960222,0.03526025,3.16804
-15.55911,19.47475,,,,,,,,36,,,,-9.654379,24.16037,9.239703,0.01427454,0.1031709,-0.1193629,3.17465
-15.75099,19.48901,,,,,,,,36.2,,,,4.644272,11.65833,15.79886,-0.02966761,-0.1229848,-0.1537709,3.17846
-15.95049,19.5034,,,,,,,,36.4,,,,21.5957,2.81175,14.69561,0.0938498,-0.0892159,0.1628257,3.17964
-16.15763,19.51351,,,,,,,,36.6,,,,-20.15726,-3.313096,8.211154,0.03110572,0.1099353,0.1906291,3.17779
-16.35128,19.52688,,,,,,,,36.8,,,,-13.59763,-12.34929,12.40963,-0.01384844,0.0469249,0.1041296,3.17663
-16.53675,19.54256,,,,,,,,37,,,,-11.69376,15.08443,4.36032,0.003941478,0.07819041,0.07813714,3.17583
-16.72523,19.55929,,,,,,,,37.2,,,,27.45766,-3.287718,8.903078,0.04878911,0.1181911,0.2444782,3.1757
-16.90894,19.5724,,,,,,,,37.4,,,,-45.01243,14.01278,14.90103,-0.1122256,-0.06199839,0.2386192,3.17617
-17.09226,19.58798,,,,,,,,37.6,,,,-33.52266,17.84734,22.15307,-0.1203216,-0.135768,0.1072721,3.18022
-17.27022,19.59497,,,,,,,,37.8,,,,-24.53674,21.62682,2.244325,-0.1531318,0.173425,0.111906,3.18293
-17.45774,19.60023,,,,,,,,38,,,,-5.236598,16.9974,6.015193,-0.06604639,0.09773801,0.1613876,3.1847
-17.64175,19.59888,,,,,,,,38.2,,,,28.48813,6.855557,8.399339,-0.05709817,-0.08165252,-0.04516721,3.18735
-17.82321,19.60347,,,,,,,,38.4,,,,-2.198835,-11.38443,-0.4936844,0.2813363,-0.01395496,0.3350257,3.19255
-18.01486,19.60857,,,,,,,,38.6,,,,-16.43476,-2.161006,5.16573,0.0298274,-0.05454154,-0.1662878,3.19687
-18.20699,19.61806,,,,,,,,38.8,,,,3.073197,-5.903144,4.318182,-0.1423726,-0.0572047,-0.134756,3.20012
